training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,19,2025-11-02 14:33:10,3.4205942153930664,0,1.698056697845459,2.1421194076538086,1.2063998790904524,2.9205942153930664,1.143759422302246,1.6421194076538086,1.0,1.0,468,465.04,500,500.0,3.4205942153930664,2.9205942153930664,50,500,0.1,0.7,5
2,20,2025-11-02 14:33:41,3.4205942153930664,0,2.1492389678955077,2.5772533416748047,1.093419225986253,2.9205942153930664,1.6006454944610595,2.0772533416748047,1.0,1.0,468,465.6,500,500.0,3.4205942153930664,2.9205942153930664,50,500,0.1,0.7,5
2,21,2025-11-02 14:34:12,3.5035829544067383,0,2.0673951625823976,2.472504138946533,1.085936377211041,3.0035829544067383,1.524307861328125,1.9725041389465332,1.0,1.0,468,466.82,500,500.0,3.4205942153930664,2.9205942153930664,50,500,0.1,0.7,5
2,22,2025-11-02 14:34:43,3.5035829544067383,0,1.8084687614440917,2.2760095596313477,1.1986707413711095,3.0035829544067383,1.2697742748260499,1.7760095596313477,1.0,1.0,468,466.16,500,500.0,3.5035829544067383,3.0035829544067383,50,500,0.1,0.7,5
2,23,2025-11-02 14:35:14,3.684788703918457,0,2.0469310760498045,2.396108865737915,1.1400750145556955,3.184788703918457,1.5026630687713622,1.896108865737915,1.0,1.0,460,466.9,500,500.0,3.5035829544067383,3.0035829544067383,50,500,0.1,0.7,5
2,24,2025-11-02 14:35:45,3.684788703918457,0,2.3382714080810545,2.602850914001465,0.9862384878540356,3.184788703918457,1.8252974510192872,2.102850914001465,1.0,1.0,460,465.52,500,500.0,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,25,2025-11-02 14:36:17,3.7058610916137695,0,1.8004678535461425,2.328184127807617,1.3010245466413575,3.2058610916137695,1.2282864809036256,1.8281841278076172,1.0,1.0,458,463.96,500,500.0,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,26,2025-11-02 14:36:49,3.7058610916137695,0,2.006218557357788,2.546603202819824,1.2897899319899924,3.2058610916137695,1.4756187629699706,2.046603202819824,1.0,1.0,458,466.2,500,500.0,3.7058610916137695,3.2058610916137695,50,500,0.1,0.7,5
2,27,2025-11-02 14:37:21,3.7058610916137695,0,1.9976171970367431,2.4967634677886963,1.2626910268190388,3.2058610916137695,1.4536670970916747,1.9967634677886963,1.0,1.0,458,464.1,500,500.0,3.7058610916137695,3.2058610916137695,50,500,0.1,0.7,5
2,28,2025-11-02 14:37:52,3.7058610916137695,0,1.8455372142791748,2.3824009895324707,1.328548006929126,3.2058610916137695,1.3032765197753906,1.8824009895324707,1.0,1.0,458,463.26,500,500.0,3.7058610916137695,3.2058610916137695,50,500,0.1,0.7,5
