training_number,total_generations,start_date,end_date,total_duration_seconds,avg_generation_duration_seconds,first_best_fitness,final_best_fitness,best_fitness_ever,best_distance_ever,avg_fitness,avg_distance,avg_stability,avg_energy,final_time_limit
24,100,2025-11-04 12:11:16,2025-11-04 12:13:19,122.56269,1.2256269,453.2559226989746,702.2892097473144,711.4775756835937,3.5938920974731445,466.84591809539785,1.3452311809539794,0.9936,470.8380000000001,679
25,100,2025-11-04 12:13:20,2025-11-04 12:15:28,126.493713,1.26493713,449.9027416229248,791.4261032104492,791.4261032104492,4.314257621765137,517.7598396669389,1.725637396669388,0.9946,470.95200000000006,715
26,100,2025-11-04 12:15:29,2025-11-04 12:17:36,126.71595899999998,1.26715959,385.878747177124,767.8860504150391,777.602328491211,4.159023284912109,486.06960202972414,1.3994818202972414,0.9924000000000001,473.2568,706
27,100,2025-11-04 12:17:37,2025-11-04 12:19:41,123.72286,1.2372286,387.0863342285156,715.1215599060058,715.1215599060058,3.7032155990600586,489.3730059474181,1.5505518594741818,0.9966000000000002,469.98080000000004,685
28,100,2025-11-04 12:19:42,2025-11-04 12:21:45,122.022947,1.22022947,439.8486778259277,713.7993537902832,702.107780456543,3.593222618103028,448.3944832172012,1.1747002321720121,0.9842,463.4164,679
29,100,2025-11-04 12:21:46,2025-11-04 12:23:49,123.169016,1.23169016,444.92138442993166,793.4692466735839,793.4692466735839,4.331138610839844,534.3021876871491,1.8746394768714905,0.9944000000000002,467.6116,716
30,100,2025-11-04 12:23:50,2025-11-04 12:25:58,126.83296,1.2683296,391.61165046691895,726.530744934082,728.6139053344726,3.792139053344727,446.40463284450533,1.181795728445053,0.9898,469.6183999999999,689
31,100,2025-11-04 12:25:59,2025-11-04 12:28:01,121.800624,1.21800624,473.9887069702148,718.6131034851074,720.6720520019531,3.7569618225097656,453.24463036403665,1.2016353036403657,0.9830000000000001,470.84100000000007,686
32,100,2025-11-04 12:28:02,2025-11-04 12:30:03,120.39492600000003,1.2039492600000004,445.69385757446287,676.1658897399902,677.0828247070312,3.399397850036621,433.3261957546234,1.060165957546234,0.9843999999999999,473.27200000000005,669
33,100,2025-11-04 12:30:04,2025-11-04 12:32:11,126.334798,1.26334798,412.6438335418701,771.8294563293457,771.8294563293457,4.153294563293457,479.7961520368195,1.3940499203681946,0.9904000000000001,469.45340000000004,707
34,100,2025-11-04 12:32:12,2025-11-04 12:34:16,123.624792,1.23624792,370.36766052246094,775.5978889465332,775.5978889465332,4.185978889465332,490.30954509227763,1.5365836509227757,0.9952000000000001,471.8782,709
